Browser,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Chrome,"13,548","13,517","16,551",84.88%,1.33,0:00:57,0.00%,0,$0.00 
Safari,"1,570","1,572","1,890",90.05%,1.14,0:00:42,0.00%,0,$0.00 
UC Browser,651,651,721,90.71%,1.16,0:00:24,0.00%,0,$0.00 
Firefox,575,575,608,90.62%,1.15,0:00:27,0.00%,0,$0.00 
Samsung Internet,324,325,409,86.06%,1.27,0:00:33,0.00%,0,$0.00 
Android Webview,264,264,281,87.90%,1.17,0:00:19,0.00%,0,$0.00 
Opera Mini,255,255,277,83.39%,1.3,0:00:24,0.00%,0,$0.00 
Opera,246,245,276,85.14%,1.22,0:00:38,0.00%,0,$0.00 
Edge,47,47,61,73.77%,1.9,0:00:49,0.00%,0,$0.00 
Safari (in-app),38,38,39,82.05%,1.21,0:00:36,0.00%,0,$0.00 
