Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
India,"14,927","14,820","17,968",85.07%,1.32,0:00:55,0.00%,0,$0.00 
United States,518,509,593,93.25%,1.08,0:00:26,0.00%,0,$0.00 
Bangladesh,490,490,609,88.51%,1.17,0:00:35,0.00%,0,$0.00 
Canada,310,310,368,91.30%,1.16,0:00:39,0.00%,0,$0.00 
Pakistan,260,260,309,82.52%,1.28,0:01:11,0.00%,0,$0.00 
United Kingdom,157,154,174,92.53%,1.1,0:00:32,0.00%,0,$0.00 
Australia,77,77,85,88.24%,1.24,0:00:38,0.00%,0,$0.00 
United Arab Emirates,68,68,75,96.00%,1.05,0:00:02,0.00%,0,$0.00 
Germany,55,54,57,89.47%,1.12,0:00:44,0.00%,0,$0.00 
Indonesia,47,45,58,87.93%,1.16,0:00:37,0.00%,0,$0.00 
South Africa,41,41,43,90.70%,1.35,0:00:29,0.00%,0,$0.00 
Nigeria,39,39,45,84.44%,1.24,0:00:47,0.00%,0,$0.00 
(not set),39,32,41,92.68%,1.1,0:00:14,0.00%,0,$0.00 
Netherlands,38,35,45,84.44%,1.47,0:00:28,0.00%,0,$0.00 
Singapore,27,25,27,88.89%,1.37,0:00:40,0.00%,0,$0.00 
New Zealand,24,24,27,81.48%,1.22,0:00:28,0.00%,0,$0.00 
Nepal,22,22,26,80.77%,1.38,0:00:18,0.00%,0,$0.00 
Malaysia,20,20,29,86.21%,1.21,0:00:06,0.00%,0,$0.00 
Philippines,20,19,22,86.36%,1.14,0:00:48,0.00%,0,$0.00 
Saudi Arabia,20,20,21,100.00%,1,0:00:00,0.00%,0,$0.00 
Ghana,19,19,22,86.36%,1.36,0:00:25,0.00%,0,$0.00 
Sri Lanka,19,19,31,83.87%,1.29,0:01:56,0.00%,0,$0.00 
Ukraine,18,16,22,95.45%,1.05,0:00:04,0.00%,0,$0.00 
France,14,12,14,92.86%,1.07,0:01:58,0.00%,0,$0.00 
Italy,14,14,15,86.67%,1.27,0:00:06,0.00%,0,$0.00 
Mexico,13,13,14,92.86%,1.14,0:00:01,0.00%,0,$0.00 
Japan,12,12,15,100.00%,1,0:00:00,0.00%,0,$0.00 
Poland,12,11,12,83.33%,1.42,0:01:04,0.00%,0,$0.00 
Romania,12,12,12,91.67%,1.17,0:00:01,0.00%,0,$0.00 
Russia,12,12,12,91.67%,1.08,0:00:02,0.00%,0,$0.00 
Kenya,11,11,15,93.33%,1.07,0:00:03,0.00%,0,$0.00 
Bahrain,10,10,17,76.47%,1.35,0:01:46,0.00%,0,$0.00 
Denmark,9,9,14,92.86%,1.07,0:00:28,0.00%,0,$0.00 
Morocco,9,9,10,90.00%,1.1,0:00:39,0.00%,0,$0.00 
Brazil,8,8,9,88.89%,1.11,0:00:06,0.00%,0,$0.00 
Switzerland,8,7,8,87.50%,1.25,0:00:47,0.00%,0,$0.00 
Egypt,8,8,9,100.00%,1,0:00:00,0.00%,0,$0.00 
Iran,8,8,8,75.00%,1.25,0:00:05,0.00%,0,$0.00 
Mauritius,8,8,9,88.89%,1.22,0:01:17,0.00%,0,$0.00 
Portugal,8,8,9,77.78%,1.44,0:00:53,0.00%,0,$0.00 
Zambia,8,8,8,75.00%,1.38,0:00:13,0.00%,0,$0.00 
