Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,20201101,2,1,0:00:13,1,0.00%,50.00%,$0.00 
/2020/04/21/mere-rashke-qamar-lyrics-baadshaho/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/21/pehli-dafa-lyrics-atif-aslam/,20201101,4,1,0:05:23,1,0.00%,25.00%,$0.00 
/2020/04/22/hasi-ban-gaye-male-lyrics-hamari-adhuri-kahani/,20201101,3,1,0:02:02,1,0.00%,33.33%,$0.00 
/2020/04/22/laila-majnu-lyrics-awesome-mausam/,20201101,2,1,0:00:13,1,0.00%,50.00%,$0.00 
/2020/04/22/pee-loon-ishq-sufiyana-lyrics-neha-kakkar-sreerama-chandra/,20201101,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/04/25/tu-hi-hai-lyrics-half-girlfriend/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/25/warrior-lyrics-ajey-nagar-carryminati/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/25/ya-ali-murtaza-lyrics-freaky-ali/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/26/maula-lyrics-global-baba/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/28/मेरी-छोटी-सी-है-नाव-लिरिक्/,20201101,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/2020/04/30/aamhi-thakar-thakar-hya-ranachi-pakhar-आम्ही-ठाकरं-ठाकरं-या/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/30/dhundi-kalyana-धुंदी-कळ्यांना-धुंदी-फ/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/30/divya-divyanchi-jyot-sangte-दिव्या-दिव्यांची-ज्य/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/01/kadhi-kase-kuthe-bhetalo-aapan-कधी-कसे-कुठे-भेटलो-आप/,20201101,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/05/02/sanj-ye-gokuli-सांज-ये-गोकुळी-सावळी-सा/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/03/bolche-akash-mukh-lukiye-lyrics-বলছে-আকাশ-মুখ-লুকিয়ে/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/03/mone-koro-ami-nei-lyrics-মনে-করো-আমি-নেই-suman-kalyanpur/,20201101,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/05/03/o-bondhu-re-lyrics-ও-বন্ধু-রে-zubeen-garg-tor-naam/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/05/satnam-waheguru-lyrics-guru-randhawa/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/07/happy-birthday-kids-mix-lyrics-aakanksha-sharma/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/15/chocolate-lyrics-kamal-hayer/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/16/heer-ranjha-lyrics-a-bazz/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/23/expectations-lyrics-sukhman-virk/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/31/ektukhani-lyrics-একটুখানি-minar-rahman-song/,20201101,2,1,0:04:11,1,0.00%,50.00%,$0.00 
/2020/06/03/naam-tumhara-lyrics-sam-rajput/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/05/aana-mere-pyar-ko-new-version-lyrics-aki-kumar/,20201101,2,1,0:01:06,1,0.00%,50.00%,$0.00 
/2020/06/05/girija-mein-urja-shiv-se-hai-lyrics/,20201101,1,1,0:00:00,1,100.00%,100.00%,$0.00 
