Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/04/28/मेरी-छोटी-सी-है-नाव-लिरिक्/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/04/30/alwar-tujhi-chahul-अलवार-तुझी-चाहूल/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/04/30/amrutachi-godi-tujhya-bhajnaat-अमृताची-गोडी-तुझ्या-भ/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/01/ghei-chhand-makrand-घेई-छंद-मकरंद/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/01/jo-trigunanchi-जो-त्रिगुणांची-मूर्त-ज/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/01/kaljat-khol-khol-काळजात-खोल-खोल-दुःख-झरे/,20200909,6,5,0:01:46,5,80.00%,83.33%,$0.00 
/2020/05/02/phite-andharache-jaale-फिटे-अंधाराचे-जाळे-झा/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/02/swarg-ha-nava-स्वर्ग-हा-नवा-वाटतो-हवा/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/02/tethe-kar-majhe-julati-तेथे-कर-माझे-जुळती/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/02/tu-sukhakarta-तू-सुखकर्ता-तू-दुःखहर्/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/02/uddhava-ajab-tujhe-sarkar-उद्धवा-अजब-तुझे-सरकार/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/05/03/amay-keno-bujhli-na-re-tui-lyrics-আমায়-কেন-বুঝলি-না-keshab-dey/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/03/nijeke-harabar-bhoy-lyrics-নিজেকে-হারাবার-ভয়-rafa-shishir/,20200909,5,4,0:09:46,4,75.00%,80.00%,$0.00 
/2020/05/05/o-jaanwaale-lyrics-akhil-sachdeva-himanshi-khurana/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/14/tempu-sultaan-lyrics-nseeb/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/05/15/tor-name-lekha-lyrics-তোর-নামে-লেখা-rupak-tiary/,20200909,2,1,0:02:48,1,0.00%,50.00%,$0.00 
/2020/05/29/sach-keh-raha-hai-deewana-lyrics-aish/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/05/30/care-na-kare-lyrics-geeta-zaildar/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/05/31/ektukhani-lyrics-একটুখানি-minar-rahman-song/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/01/clickan-lyrics-babbu-maan-2/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/04/kabir-das-ke-dohe-in-hindi-संत-कबीर-के-दोहे/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/04/sone-di-chidiya-lyrics-jasmine-sandlas/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/04/teddy-tere-lyrics/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/05/krishna-hai-vistar-yadi-toh-lyrics/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/06/porkkalam-porkkalam-song-lyrics/,20200909,1,1,0:00:08,0,0.00%,0.00%,$0.00 
/2020/06/07/tattooz-lyrics-parry-sarpanch/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/07/vail-lyrics-mankirt-aulakh-ft-shree-brar/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/09/chora-kata-lyrics-চোরা-কাঁটা-arnob-rajib-ashraf/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/11/ajj-kal-ajj-kal-lyrics-nimrat-khaira/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/11/telephone-lyrics-arron/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/12/tomay-ami-chinina-confusion-lyrics-কনফিউশন-bangla-five/,20200909,2,1,0:03:28,1,0.00%,50.00%,$0.00 
/2020/06/12/tommy-lee-lyrics-tyla-yaweh-ft-post-malone/,20200909,2,1,0:03:25,1,0.00%,50.00%,$0.00 
/2020/06/22/nanak-niva-jo-challe-lyrics-bobby-sandhu-ft-karan-aujla/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/25/jind-lyrics-g-sidhu/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/26/radha-rani-lyrics-suprabha-kv/,20200909,6,4,0:01:15,4,50.00%,66.67%,$0.00 
/2020/06/28/spark-lyrics-fotty-seven/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/29/noor-lyrics-lost-stories-akanksha-bhandari-zaeden/,20200909,9,8,0:01:32,8,87.50%,88.89%,$0.00 
/2020/07/01/aashiq-lyrics-harjas-harjaayi/,20200909,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/2020/07/05/pahaad-ki-dahaad-lyrics-parry-g-g-one-rap-unfenced/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/07/feelings-lyrics-sumit-goswami/,20200909,13,10,0:09:26,10,70.00%,76.92%,$0.00 
/2020/07/09/ei-shohor-amar-ar-noy-lyrics-এই-শহর-আমার-আর-নয়-saif-zohan/,20200909,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/2020/07/09/elo-borosha-je-sohosha-lyrics-এলো-বরষা-যে-সহসা-satinath-mukhopadhay/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/10/ignore-lyrics-sony-dhaliwal/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/13/main-shiv-hu-lyrics-vineet-katoch-vinay-katoch/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/13/tolerate-lyrics-sifat-gurlej-akhtar/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/15/dil-tod-ke-song-lyrics-rochak-kohli-b-praak/,20200909,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/2020/07/15/kya-hai-song-lyrics-fotty-seven/,20200909,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/2020/07/17/the-sun-lyrics-kyle-ft-raphael-saadiq-bryson-tiller/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/18/fakira-lyrics-sunil-duggal-shanky-goswami/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/19/shree-chandra-kavacham-chandra-kavach-stotram-चंद्र-कवच-powerful-navgraha-stotram/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/20/kon-bhidega-be-lyrics-vanny/,20200909,1,1,0:00:19,1,0.00%,0.00%,$0.00 
/2020/07/21/purane-khund-lyrics-tarsem-modgill-parvez-ali-jodhan/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/23/guru-datt-aarti-ગુરૂ-દત્ત-આરતી-गुरु-दत्/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/26/bhai-tera-zeher-hai-lyrics-ashish-bhatia/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/26/manali-ke-aloo-lyrics-sirazee-inderjeet/,20200909,5,5,0:00:00,5,100.00%,100.00%,$0.00 
/2020/07/26/mehfil-lyrics-filmy-ft-kay-d-manni/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/07/27/mumbai-darshan-lyrics-devil/,20200909,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/2020/07/28/doraemon-song-lyrics-arsh-braich/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/29/top-notch-lyrics-shivjot-gurlez-akhtar/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/08/15/raat-andhari-sati-ne-vayak-aavya-રાત-અંધારી-સતીને-વાયક/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/08/22/mane-chhodyo-kaya-karne-lyrics-rakesh-raval/,20200909,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/08/22/pindan-de-jaye-lyrics-sajjan-adeeb/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/08/26/dil-de-nede-lyrics-kulbir-jhinjer/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/08/28/be-myself-lyrics-tom-wilson/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/09/01/mari-mata-no-aek-vaar-kafi-lyrics-jigar-bhatiya-rupal-dabhi-akshay-barot/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/09/06/growing-up-lyrics-mcfly-ft-mark-hoppus/,20200909,1,1,0:00:08,0,0.00%,0.00%,$0.00 
/2020/09/06/hit-different-lyrics-sza-ft-ty-dolla-sign/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/09/06/punjab-de-javak-lyrics-jasmine-sandlas/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/09/08/koi-rajpara-jaine-lyrics-hemant-chauhan/,20200909,1,1,0:00:10,0,0.00%,0.00%,$0.00 
/2020/09/08/main-kanuda-tori-govalan-lyrics-niranjan-pandya/,20200909,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/2020/09/08/surname-lyrics-savvy-nagra/,20200909,1,1,0:00:27,0,0.00%,0.00%,$0.00 
/2020/09/08/versace-lyrics-the-same-persons/,20200909,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/category/english-songs/,20200909,2,1,0:00:16,0,0.00%,0.00%,$0.00 
/category/english-songs/page/2/,20200909,1,1,0:00:09,0,0.00%,0.00%,$0.00 
/category/english-songs/page/3/,20200909,1,1,0:00:00,0,0.00%,100.00%,$0.00 
/category/tamil-songs/,20200909,1,1,0:00:04,0,0.00%,0.00%,$0.00 
